en;nl;fr;de;sv;pl;no
Add your own custom CSS to configure the layout of the showroom to your style.;Voeg  eigen aangepaste CSS toe om de lay-out van de showroom aan je stijl aan te passen.;Ajoutez votre propre CSS personnalisé pour configurer la mise en page de la salle d'exposition selon votre style.;Fügen Sie Ihr eigenes Custom CSS hinzu, um das Layout des Showrooms nach Ihren Vorstellungen zu gestalten.;Lägg till din egen anpassade CSS för att konfigurera layouten i showroomet.;Dodaj własny CSS, aby skonfigurować układ showroom do twojego stylu.;Legg til din egen tilpassede CSS for å konfigurere utformingen av showroomet til din stil. 
Custom CSS (EMS);Custom CSS (EMS);CSS personnalisé (EMS);Custom CSS (EMS);Anpassad CSS (EMS);Niestandardowy CSS (EMS);Tilpasset CSS (EMS) 
There is a very low contrast ratio between the text/background color!;Er is een zeer lage contrastverhouding tussen de tekst / achtergrondkleur!;Le rapport de contraste entre le texte et la couleur d'arrière-plan est très faible !;Es gibt ein sehr geringes Kontrastverhältnis zwischen Text und Hintergrundfarbe!;Kontrastförhållandet mellan text/bakgrundsfärg är lågt!;Istnieje bardzo niski współczynnik kontrastu między tekstem a kolorem tła!;Det er et veldig lavt kontrastforhold mellom tekst / bakgrunnsfarge! 
Add your own custom CSS to configure the layout of the EMS to your style.;Voeg uw eigen aangepaste CSS toe om de lay-out van het EMS naar uw stijl te configureren.;Ajoutez votre propre CSS personnalisé pour configurer la mise en page de l'EMS selon votre style.;Fügen Sie Ihr eigenes Custom CSS hinzu, um das Layout des EMS an Ihren Stil anzupassen.;Lägg till din egen anpassade CSS för att konfigurera layouten för EMS.;Dodaj własny CSS, aby skonfigurować układ EMS do twojego stylu.;Legg til din egen tilpassede CSS for å konfigurere utformingen av EMS til din stil. 
Enable showroom;Showroom toestaan;Activer le showroom;Showroom erlauben;Aktivera showroom;Włącz showroom;Aktiver showroom 
Enable this to make the showroom accessible.;Zet dit aan om de showroom te activeren;Activez cette option pour rendre le showroom accessible.;Aktivieren Sie dies, um den Showroom zugänglich zu machen;Slå på knappen för att göra showroomet tillgängligt.;Włącz to aby showroom był dostępny.;Aktiver denne for å gjøre showroom tilgjengelig.
Require login;Verplichte login;Exiger une connexion;Login verlangen;Kräver inloggning;Wymagaj logowania;Krever innlogging 
Enable a login for the showroom to only allow users with an account.;Zet dit aan om alleen gebruikers met een account toe te staan in de showroom.;Activez une connexion pour le showroom afin de n'autoriser que les utilisateurs possédant un compte.;Aktivieren Sie ein Login für den Showroom, um nur Benutzer mit einem Konto zuzulassen.;Aktivera en inloggning för showroomet för att endast tillåta användare med ett konto.;Włącz logowanie do showroom, aby zezwolić tylko użytkownikom z kontem.;Aktiver en pålogging for showroom for å kun tillate brukere med konto. 
Checkout;Afrekenen;Vérifier;Zur Kasse;Checkout;Kontrola;Gå til kasse
Configure what is shown on the checkout page when a logged in user creates a quotation.;Configureer wat wordt weergegeven op de afrekenpagina wanneer een ingelogde gebruiker een offerte maakt.;Configurez ce qui s'affiche sur la page de paiement lorsqu'un utilisateur connecté crée un devis.;Konfigurieren Sie, was auf der Checkout-Seite angezeigt wird, wenn ein angemeldeter Benutzer ein Angebot erstellt.;Konfigurera vad som visas på checkout-sidan när en inloggad användare skapar en offert.;Skonfiguruj to, co jest wyświetlane na stronie realizacji zakupu, gdy zalogowany użytkownik tworzy ofertę.;Konfigurer hva som vises på betalingssiden når en pålogget bruker oppretter et tilbud. 
These settings do not apply to sub-organizations. Sub-organizations have their own settings.;Deze instellingen zijn niet van toepassing op suborganisaties. Suborganisaties hebben hun eigen instellingen.;Ces paramètres ne s'appliquent pas aux sous-organisations. Les sous-organisations ont leurs propres paramètres.;Diese Einstellungen gelten nicht für Sub-Organisationen. Sub-Organisationen haben ihre eigenen Einstellungen.;Inställningar gäller inte för suborganisationer. Suborganisationer har sina egna inställningar.;Te ustawienia nie mają zastosowania do firmy zależnych. Firmy zależne mają swoje własne ustawienia.;Disse innstillingene gjelder ikke for underorganisasjoner. Underorganisasjoner har sine egne innstillinger. 
Shipping address;Afleveradres;Adresse de livraison;Lieferadresse;Leveransadress;Adres wysyłki;Leveringsadresse 
Quotation;Offerte;Devis;Angebot;Offert;Offerta;tilbud
Enable multiple configurations;Meerdere configuraties toestaan;Activer plusieurs configurations;Mehrere Konfigurationen zulassen;Aktivera flera konfigurationer;Włączenie wielu konfigracji.;Aktiver flere konfigurasjoner 
Enable multiple configurations at the same time in the showroom.;Sta meerdere configuraties tegelijk toe in de showroom.;Activez plusieurs configurations en même temps dans le showroom.;Mehrere Konfigurationen können gleichzeitig im Showroom eingestellt werden.;Aktivera flera konfigurationer samtidigt i showroomet.;Włącz wiele konfiguracji jednocześnie w showroom;Aktiver flere konfigurasjoner samtidig i utstillingslokalet. 
Enable different ship to address;Afwijkend afleveradres toestaan;Activer une adresse de livraison différente;Verschiedene Lieferadressen zulassen;Aktivera olika leveransadresser;Włączenie różnych adresów wysyłki.;Aktiver forskjellige forsendelser til adresser 
Showroom address(es);Showroom adressen;Adresse(s) du showroom;Adresse(n) des Showrooms;Adress(er) till showroom;Adres/y showroom/ów;Showroom-adresse(r) 
Add more endpoints to gain access to the showroom for the specified URL. Requires DNS settings at the domain registrar.;Voeg meer domeinen toe om toegang te krijgen tot de showroom voor de opgegeven URL. Vereist DNS-instellingen bij de domeinregistreerder.;Ajoutez des points d'extrémité supplémentaires pour accéder au showroom pour l'URL spécifiée. Nécessite des paramètres DNS chez le registraire de domaine.;Fügen Sie weitere Endpunkte hinzu, um für die angegebene URL Zugang zum Showroom zu erhalten. Erfordert DNS-Einstellungen bei der Domänenregistrierungsstelle.;Lägg till fler ändpunkter för att få tillgång till showroomet för den angivna URL:en. Kräver DNS-inställningar hos domänregistreraren.;Dodaj więcej punktów końcowych, aby uzyskać dostęp do showroom dla określonego adresu URL. Wymaga ustawień DNS u rejestratora domen.;Legg til flere endepunkter for å få tilgang til showroomet for den angitte URL-adressen. Krever DNS-innstillinger hos domeneregistratoren. 
Domain name;Domein naam;Nom de domaine;Domain-Name;Domännamn;Nazwa domeny;Domenenavn 
Organization(s);Organisatie(s);Organisation(s);Organisation(en);Organisation(er);Organizacja/e;Organisasjon(er) 
Receive configuration e-mail;Configuratie e-mail ontvangen;Recevoir un e-mail de configuration;Konfigurations-E-Mail erhalten;Ta emot e-post för konfiguration;Odbierz mail konfiguracyjny;Motta konfigurasjons-e-post 
When a quotation is requested in the showroom, a copy of the configuration will be send to this mail address.;Bij een offerte aanvraag in de showroom wordt een kopie van de configuratie naar dit mailadres gestuurd.;Lorsqu'un devis est demandé dans le showroom, une copie de la configuration est envoyée à cette adresse e-mail.;Wenn ein Angebot im Showroom angefordert wird, wird eine Kopie der Konfiguration an diese E-Mail-Adresse gesendet.;När en offert begärs i showroomet skickas en kopia av konfigurationen till den här e-postadressen.;Gdy potrzebna jest oferta w showroom, kopia konfiguracji zostanie wysłana na ten adres email.;Når et tilbud blir forespurt i showroom, vil en kopi av konfigurasjonen bli sendt til denne e-postadressen.
Quotation requested action;Offerte aanvraag actie;Action de demande de devis;Angebot angefragt Aktion;Åtgärd för begärd offert;Akcja żądania oferty;Handling for forespurt tilbud
Select an action that occurs when a quotation is requested.;Selecteer een actie die plaatsvindt wanneer een offerte wordt aangevraagd.;Sélectionnez une action qui se produit lorsqu'un devis est demandé.;Wählen Sie eine Aktion aus, die ausgeführt wird, wenn ein Angebot angefordert wird.;Välj en åtgärd som vidtas när en offert begärs.;Wybierz akcję, która ma być wykonywana podczas żadania oferty.;Velg en handling som oppstår når du ber om et tilbud. 
Require offered to;Vereist aangeboden aan;Obligation offerte à;Aufforderung zur Angebotsabgabe;Kräver att erbjudandet ska;Wymagaj oferty do;Krev tilbudt å 
Require the user to fill in his contact details when requesting a quotation.;Vereisen dat de gebruiker zijn contactgegevens invult bij het aanvragen van een offerte.;Demandez à l'utilisateur de remplir ses coordonnées lorsqu'il demande un devis.;Der Benutzer wird aufgefordert, seine Kontaktdaten einzugeben, wenn er ein Angebot anfordert.;Kräver att användaren fyller i sina kontaktuppgifter när han eller hon begär en offert.;Wymagaj od użytkownika podania swoich danych kontaktowych podczas składania zapytania o ofertę.;Krev at brukeren fyller ut kontaktinformasjonen sin når han ber om et tilbud. 
Submit e-mail to customer;Verzend e-mail naar klant;Envoyer un e-mail au client;E-Mail an den Kunden senden;Skicka e-post till kunden;Wyślij email do klienta;Send e-post til kunden 
Send a confirmation e-mail to the customer when a quotation is requested.;Stuur een bevestigingsmail naar de klant wanneer een offerte wordt aangevraagd.;Envoyez un e-mail de confirmation au client lorsqu'un devis est demandé.;Senden Sie eine Bestätigungs-E-Mail an den Kunden, wenn ein Angebot angefordert wird.;Skicka ett bekräftelsemail till kunden när en offert begärs.;Wyślij email z potwierdzeniem do klienta, gdy będzie zapytanie o ofertę.;Send en bekreftelses-e-post til kunden når det bes om tilbud. 
Attach PDF to e-mail;Voeg PDF toe aan e-mail;Joindre un PDF à un e-mail;PDF an E-Mail anhängen;Bifoga PDF-fil till e-post;Załącz plik PDF do maila;Legg ved PDF i e-post 
Attach a PDF to the e-mail, which is send to the customer when a quotation is requested.;Voeg een PDF toe aan de e-mail, die naar de klant wordt gestuurd wanneer een offerte wordt aangevraagd.;Joignez un PDF à l'e-mail qui est envoyé au client lorsqu'il demande un devis;Hängen Sie eine PDF an die E-Mail an, die an den Kunden gesendet wird, wenn ein Angebot angefordert wird.;Bifoga en PDF-fil till e-postmeddelandet som skickas till kunden när en offert begärs.;Dołącz PDF do tego maila, który będzie wysłany do klienta, kiedy zapytanie o ofertę będzie złożone.;Legg ved en PDF i e-posten, som sendes til kunden når et tilbud blir forespurt.
Confirmation mail template;Bevestigingsmail template;Modèle de courrier de confirmation;Vorlage für Bestätigungsmail;Mall för bekräftelsemail;Szablon email z potwierdzeniem;E-postmal for bekreftelse 
This text is the e-mail that is send to the customer when a quotation is requested.;Deze tekst is de e-mail die naar de klant wordt gestuurd wanneer een offerte wordt aangevraagd.;Ce texte est l'e-mail qui est envoyé au client lorsqu'un devis est demandé.;Dieser Text ist die E-Mail, die an den Kunden gesendet wird, wenn ein Angebot angefordert wird.;Den här texten är det e-postmeddelande som skickas till kunden när en offert begärs.;Ten tekst jest w mailu wysyłanym do klienta, gdy wymagana jest oferta.;Denne teksten er e-posten som sendes til kunden når det bes om et tilbud. 
User request quote message;Gebruiker offerte aanvraag bericht;Message de demande de devis de l'utilisateur;Nachricht zur Angebotsanforderung ;Meddelande om användarens begäran om offert;Komunikat z prośbą użytkownika o wycenę;Melding om tilbud på brukerforespørsel 
This text is displayed after the customer has requested a quotation.;Deze tekst wordt weergegeven nadat de klant een offerte heeft aangevraagd.;Ce texte s'affiche après que le client a demandé un devis.;Dieser Text wird angezeigt, nachdem der Kunde ein Angebot angefordert hat.;Den här texten visas när kunden har begärt en offert.;Ten tekst jest wyświetlany po złożeniu przez klienta prośby o ofertę.;Denne teksten vises etter at kunden har bedt om et tilbud. 
Enable welcome page;Welkomstpagina inschakelen;Activer la page de réception;Begrüßungsseite zulassen;Aktivera välkomstsida;Włącz stronę powitalną;Aktiver velkomstsiden 
Enable product selection page;Productkeuzepagina inschakelen;Activer la page de sélection des produits;Produktauswahlseite zulassen;Aktivera sidan för produktval;Włącz stronę wyboru produktu;Aktiver produktvalgsiden
Displays a product selection page, in which the user can search and select a product to configure. This option is enabled by default. If this option is disabled, a user will only be able to visit the configurator with a direct URL.;Geeft een productselectiepagina weer waarin de gebruiker kan zoeken en een product kan selecteren om te configureren. Deze optie is standaard ingeschakeld. Als deze optie is uitgeschakeld, kan een gebruiker de configurator alleen bezoeken met een directe URL.;Affiche une page de sélection de produits, dans laquelle l'utilisateur peut rechercher et sélectionner un produit à configurer. Cette option est activée par défaut. Si cette option est désactivée, l'utilisateur ne pourra visiter le configurateur qu'avec une URL directe.;Zeigt eine Produktauswahlseite an, auf der der Benutzer ein zu konfigurierendes Produkt suchen und auswählen kann. Diese Option ist standardmäßig aktiviert. Wenn diese Option deaktiviert ist, kann ein Benutzer den Konfigurator nur über eine direkte URL besuchen.;Visar en produktvalssida där användaren kan söka och välja en produkt som ska konfigureras. Det här alternativet är aktiverat som standard. Om det här alternativet är inaktiverat kan en användare endast besöka konfiguratorn med en direkt URL.;Wyświetla stronę wyboru produktu, na której użytkownik może wyszukać i wybrać produkt do skonfigurowania. Ta opcja jest domyślnie włączona. Jeśli opcja jest wyłączona, użytkownik będzie mógł odwiedzać konfigurator tylko za pomocą bezpośredniego adresu URL.;Viser en produktvalg side der brukeren kan søke etter og velge et produkt som skal konfigureres. Dette alternativet er aktivert som standard. Hvis dette alternativet er deaktivert, kan en bruker kun besøke konfiguratoren med en direkte URL-adresse.
Background image;Achtergrond afbeelding;Image d'arrière-plan;Hintergrundbild;Bakgrundsbild;Obraz tła;Bakgrunnsbilde 
Background image which is displayed in the product selection page.;Achtergrondafbeelding die wordt weergegeven op de productselectiepagina.;Image d'arrière-plan qui s'affiche sur la page de sélection des produits.;Hintergrundbild, das auf der Produktauswahlseite angezeigt wird.;Bakgrundsbild som visas på produktvalssidan.;Obraz tła, który jest wyświetlany na stronie wyboru produktu.;Bakgrunnsbilde som vises på produktvalgsiden. 
Map 3D items to nodes;Wijs 3D-items toe aan nodes;Affecter les éléments 3D aux nœuds;3D-Artikel zu 'Nodes' zuweisen;Mappa 3D-objekt till noder;Mapowanie elementów 3D na karty;Tilordne 3D-elementer til noder 
Display after checkout;Tonen na afrekenpagina;Afficher après le passage à la caisse;Display nach dem Checkout;Visas efter utcheckning;Wyświetl po kontroli;Vises etter utsjekking 
Redirect to url;Omleiden naar url;Redirection vers l'URL;Weiterleitung zur Url;Omdirigera till url;Przekieruj na adres url;Omdiriger til url 
Adds a welcome page, which the user will see first, when visiting the showroom.;Voegt een welkomstpagina toe, die de gebruiker als eerste te zien krijgt bij een bezoek aan de showroom.;Ajoute une page de bienvenue, que l'utilisateur verra en premier, lorsqu'il visitera la salle d'exposition.;Fügt eine Begrüßungsseite hinzu, die der Benutzer als erstes sieht, wenn er den Showroom besucht.;Lägg till en välkomstsida som användaren ser först när han eller hon besöker utställningslokalen.;Dodaje stronę powitalną, który użytkownik zobaczy jako pierwszą, odwiedzając showroom.;Legger til en velkomstside, som brukeren vil se først når han eller hun besøker showroomet. 
By disabling this setting, you will be able to map 3D objects to Features, instead of 'nodes' in the configuration model. Feature 3D mappings (setting disabled) are global, meaning they will be shared between multiple configuration models. This can be used to save setup and maintenance work. Node 3D mappings (setting enabled) are specific to a configuration model.;Door deze instelling uit te schakelen, kun je 3D objecten aan Features koppelen, in plaats van aan 'nodes' in een configuratiemodel. 3D koppelingen op Feature niveau (instelling uit) zijn globaal van aard, wat betekent dat ze tussen meerdere configuratiemodellen worden gedeeld. Dit kan worden gebruikt om instel- en onderhoudstijd te besparen. 3D koppelingen op node niveau (instelling aan) zijn specifiek voor een configuratiemodel.;"En désactivant ce paramètre, vous pourrez associer des objets 3D à des fonctionnalités, au lieu de """"nœuds"""" dans le modèle de configuration. Les mappages 3D des fonctionnalités (paramètre désactivé) sont globaux, ce qui signifie qu'ils seront partagés entre plusieurs modèles de configuration. Cela peut être utilisé pour économiser le travail de configuration et de maintenance. Les mappages 3D des nœuds (paramètre activé) sont spécifiques à un modèle de configuration.";"Wenn Sie diese Einstellung deaktivieren, können Sie 3D-Objekte im Konfigurationsmodell Features statt """" Nodes """" zuordnen. Feature-3D-Zuordnungen (Einstellung deaktiviert) sind global, d. h. sie werden von mehreren Konfigurationsmodellen gemeinsam genutzt. Dies kann genutzt werden, um Einrichtungs- und Wartungsarbeiten zu sparen. Nodes-3D-Zuordnungen (Einstellung aktiviert) sind spezifisch für ein Konfigurationsmodell.";"Om du inaktiverar den här inställningen kan du mappa 3D-objekt till funktioner i stället för """"noder"""" i konfigurationsmodellen. 3D-mappningar av funktioner (inställningen är inaktiverad) är globala, vilket innebär att de delas mellan flera konfigurationsmodeller. Detta kan användas för att spara installations- och underhållsarbete. 3D-mappningar för noder (inställningen är aktiverad) är specifika för en konfigurationsmodell.";"Wyłączenie tego ustawienia umożliwia mapowanie obiektów 3D na obiekty zamiast na """"karty"""" w modelu konfiguracji. Mapowania 3D operacji (ustawienie wyłączone) mają charakter globalny, co oznacza, że będą współużytkowane przez wiele modeli konfiguracji. Można go użyć do zaoszczędzenia prac konfiguracyjnych i konserwacyjnych. Mapowania kart 3D (ustawienie włączone) są specyficzne dla modelu konfiguracji.";"Ved å deaktivere denne innstillingen kan du tilordne 3D-objekter til funksjoner i stedet for ""noder"" i konfigurasjonsmodellen. 3D-funksjonstilordninger (innstillingen er deaktivert) er globale, noe som betyr at de deles mellom flere konfigurasjonsmodeller. Dette kan brukes til å spare oppsett- og vedlikeholdsarbeid. Node 3D-tilordninger (innstillingen er aktivert) er spesifikke for en konfigurasjonsmodell."
quotation;offerte;devis;Angebot;Offert;oferta;tilbud
Quotation number that is used as reference, this is incremented by one for each quotation that is generated.;Offertenummer dat als referentie wordt gebruikt, dit wordt met één verhoogd voor elk offerte die wordt gegenereerd.;Numéro de devis utilisé comme référence, il est incrémenté de un pour chaque devis généré.;Angebotsnummer, die als Referenz verwendet wird. Sie wird für jedes erstellte Angebot um eins erhöht.;Offertnummer som används som referens, detta ökas med ett för varje offert som genereras.;Numer oferty, który jest używany jako odniesienie i jest zwiększany o jeden dla każdej wygenerowanej oferty;Tilbudsnummer som brukes som referanse, dette økes med en for hvert tilbud som genereres.
Next number;Volgende nummer;Numéro suivant;Nächste Nummer;Följande nummer;Następny numer;Neste nummer-US
Reset period;Reset periode;Période de réinitialisation;Periode zurücksetzen;Återställningsperiod;Okres restowania;Tilbakestill periode
Daily;Dagelijks;Quotidiennement;Täglich;Dagligen;Codzienny;Daglig
Monthly;Maandelijks;Mensuel;Monatlich;Månadsvis;Miesięczny;Månedlig
Yearly;Jaarlijks;Annuel;Jährlich;Årligen;RocznyÅrlig
Expire time (days);Verlooptijd (dagen);Période d'expiration (Jours);Verfallszeit (Tage);Förfallodag (dagar);Termin ważności (dni);Utløpstid (dager)
Amount of days that a submitted quotation is valid. If this timespan has been passed, the status of the quotation is automatically set to expired.;Aantal dagen dat een ingediende offerte geldig is. Indien deze termijn is verstreken, wordt de status van de offerte automatisch op verlopen gezet.;Nombre de jours de validité d'un devis soumis. Si ce délai est dépassé, le statut de l'offre est automatiquement défini comme étant expiré.;"Anzahl der Tage, die ein abgegebenes Angebot gültig ist. Wenn diese Zeitspanne überschritten ist, wird der Status des Angebots automatisch auf """" verfallen"""" gesetzt.";"Antal dagar som en inskickad offert är giltig. Om tidsperioden har gått ut sätts automatiskt statusen för offerten till """"upphörd"""".";Liczba dni, w których przesłana oferta jest ważna. Jeśli ten przedział czasowy został przekroczony, status oferty jest automatycznie ustawiany na wygasły.;Antall dager et innsendt tilbud er gyldig. Hvis dette tidsrommet er passert, settes statusen for tilbudet automatisk til utløpt.
Hide quotation discounts;Verberg offerte kortingen;Masquer les remises sur le devis;Angebotsrabatte verbergen;Dölja rabatter på offerter;Ukryj rabat oferty;Skjule tilbudsrabatter
Enable this if you want to hide the discount options on the quotations screen.;Schakel dit in als u de kortingsopties op het offertescherm wilt verbergen.;Activez cette option si vous souhaitez masquer les options de remise sur l'écran de devis.;Aktivieren Sie diese Option, wenn Sie die Rabattoptionen auf dem Angebotsbildschirm verbergen möchten.;Slå på knappen om du vill dölja rabattalternativen på offertskärmen.;Włącz tę opcję, jeśli chcesz ukryć opcje rabatu na ekranie oferty.;Aktiver dette hvis du vil skjule rabattalternativene på tilbudsskjermen.
Disable full seller overview;Volledig verkoper overzicht uitschakelen;Désactiver l'aperçu complet du vendeur;Vollständige Verkäuferübersicht nicht anzeigen;Inaktivera fullständig översikt över säljaren;Wyłącz podgląd dla pełnego sprzedawcy;Deaktiver full selgeroversikt
Enable this if you want sellers to only be able to view their own quotations;Schakel dit in als u wilt dat verkopers alleen hun eigen offertes kunnen bekijken;Activez cette option si vous souhaitez que les vendeurs ne puissent consulter que leurs propres devis.;Aktivieren Sie diese Option, wenn Sie möchten, dass Verkäufer nur ihre eigenen Angebote sehen können.;Slå på knappen om du vill att säljare endast ska kunna se sina egna offerter.;Włącz tę opcję, jeśli chcesz, aby sprzedawcy mogli wyświetlać tylko własne oferty;Aktiver dette hvis du vil at selgere bare skal kunne vise sine egne tilbud
Email subject;Email onderwerp;Objet de l'e-mail;E-Mail-Betreff;E-postämne;Temat emailu;Emne for e-post
This value will be the subject of an email sent from a quotation.;Deze waarde zal het onderwerp zijn van een e-mail die vanuit een offerte is verzonden.;Cette valeur sera l'objet de l'e-mail envoyé à partir d'un devis.;Dieser Wert ist der Betreff einer E-Mail, die von einem Angebot aus gesendet wird.;Det här värdet kommer att vara ämnet för ett e-postmeddelande som skickas från en offert.;Ta wartość będzie przedmiotem wiadomości e-mail wysłanej z oferty.;Denne verdien vil være emnet for en e-post sendt fra et tilbud.
Quotation header fields;Offerte header velden;Champs d'en-tête du devis;Angebotskopf-Felder;Huvudfält för offerter;Pole nagłówka oferty;Tilbudets overskriftsfelt
Configure which quotation fields should be required, disabled or hidden;Configureer welke offertevelden vereist, uitgeschakeld of verborgen moeten zijn;Configurez les champs de devis qui doivent être obligatoires, désactivés ou masqués.;Konfigurieren Sie, welche Angebotsfelder benötigt, deaktiviert oder verborgen werden sollen.;Konfigurera obligatoriska fält för offerter;Skonfiguruj, które pola oferty mają być wymagane, wyłączone lub ukryte;Konfigurere hvilke tilbudsfelt som skal være obligatoriske, deaktiverte eller skjulte
Note: disabled and hidden only apply to sellers;Opmerking: uitgeschakeld en verborgen zijn alleen van toepassing op verkopers;Remarque : les champs désactivés et masqués ne s'appliquent qu'aux vendeurs.;Hinweis: Deaktiviert und verborgen gelten nur für Verkäufer;Observera: Inaktiverade och dolda fält gäller endast för säljare.;Uwaga: wyłączone i ukryte dotyczą tylko sprzedających;Merk: deaktivert og skjult gjelder bare for selgere
Field;Veld;Champ;Feld;Fält;Pole;Felt
Action;Actie;Action;Aktion;Åtgärder;Akcja;Handling
Required;Vereist;Obligatoire;Benötigt;Obligatoriskt;Wymagane;Påkrevd
Disabled;Uitgeschakeld;Désactivé;Deaktiviert;Inaktiverat;Wyłączony;Ufør
Hidden;Verborgen;Masqué;Unsichtbar;Dolda;Ukryty;Skjult
Required contacts fields;Verplichte contact velden;Champs obligatoires pour les contacts;Benötigte Kontaktfelder;Obligatoriska kontaktfält;Wymagane pola kontaktów;Obligatoriske kontaktfelt
Make sure that certain fields for contacts, such as the address, must be filled in.;Zorg ervoor dat bepaalde velden voor contacten, zoals het adres, moeten worden ingevuld.;Assurez-vous que certains champs pour les contacts, tels que l'adresse, doivent être remplis.;Stellen Sie sicher, dass bestimmte Felder für Kontakte, wie z. B. die Adresse, ausgefüllt werden müssen.;Se till att vissa kontaktfält, t.ex. adressen, måste fyllas i.;Upewnij się, że niektóre pola kontaktów, takie jak adres, muszą być wypełnione.;Kontroller at bestemte felt for kontakter, for eksempel adressen, må fylles ut.
Allowed quotation actions;Toegestane offerte acties;Actions de devis autorisées;Erlaubte Angebotsaktionen;Tillåtna offertåtgärder;Dozwolone akcje ofertowania;Tillatte tilbudshandlinger
Allowed seller quotation actions;Toegestane offerte verkoper acties;Actions de devis autorisées pour les vendeurs;Erlaubte Angebotsaktionen für Verkäufer;Tillåtna åtgärder för säljarens offerter;Pozwala sprzedawcy na akcje ofertowania;Tillatte tilbudshandlinger for selger
Configure which quotation actions can be used per status.;Configureer welke offerte acties per status gebruikt kunnen worden.;Configurez les actions de cotation qui peuvent être utilisées par statut.;Konfigurieren Sie, welche Angebotsaktionen pro Status verwendet werden können.;Konfigurera vilka offertåtgärder som kan användas per status.;Konfigurowanie akcji oferty, które mogą być używane dla danego stanu.;Konfigurer hvilke tilbudshandlinger som kan brukes per status.
Concept;Concept;Concept;Konzept;Koncept;Pojęcie;Konsept 
Submitted;Ingediend;Soumis;Gesendet;Inskickat;Przekazane;Sendt inn
Accepted;Geaccepteerd;Accepté;Angenommen;Godkänd;Zaakceptowane;Godtatt
Declined;Afgewezen;Refusé;Abgelehnt;Avslaget;Odrzucone;Avslått
Debtor;Klant;Débiteur;Debitoren;Debitor;Dłużnik;Debitor
Expired;Verlopen;Expiré;Verfallen;Utgått;Wygasłe;Utløpt
Revised;Herzien;Révisé;Geändert;Reviderad;Zmienione;Revidert
Archived;Gearchiveerd;Archivé;Archiviert;Arkiverad;Zaarchiwizowane;Arkivert
Allowed;Toegestaan;Autorisé;Erlaubt;Godkänd;Dozwolone ;Tillatt
Configure which quotation actions can be used by sellers.;Configureer welke offerteacties door verkopers kunnen worden gebruikt.;Configurez les actions de devis qui peuvent être utilisées par les vendeurs.;Konfigurieren Sie, welche Angebotsaktionen von Verkäufern verwendet werden können.;Konfigurera vilka offertåtgärder som kan användas av säljare.;Skonfiguruj, które akcje oferty mogą być używane przez sprzedawców.;Konfigurer hvilke tilbudshandlinger som kan brukes av selgere.
Delete lines;Offerteregels verwijderen;Supprimer des lignes;Linien löschen;Radera rader;Usuń linie;Slette linjer
Edit line quantity;Offerteregel aantal wijzigen;Modifier la quantité de lignes;Linienanzahl bearbeiten;Redigera linjekvantiteten;Edytuj ilość linii;Rediger linjemengde
Add line to group;Offerteregel aan groep toevoegen;Ajouter une ligne à un groupe;Linie zur Gruppe hinzufügen;Lägg till rad i grupp;Dodaj linię do grupy;Legge til linje i gruppe
Change line order;Offerteregel volgorde wijzigen;Modifier l'ordre des lignes;Linienreihenfolge ändern;Ändra linjens ordning;Zmień kolejność lini;Endre linjens rekkefølge
Add configurations;Configuraties toevoegen;Ajouter des configurations;Konfigurationen hinzufügen;Lägg till konfigurationer;Dodaj konfigurację ;Legge til konfigurasjoner
Add features;Features toevoegen;Ajouter des fonctionnalités;Funktionen hinzufügen;Lägg till funktioner;Dodawanie wyposażenia;Legg til funksjoner
Copy configuration;Configuratie kopiëren;Copier la configuration;Konfiguration kopieren;Kopiera konfiguration;Kopiuj konfigurację;Kopier konfigurasjon
Hide in;Verstoppen in;Cacher dans;Verbergen in;Gömma i;Ukryj;Skjules i
Overview (showroom);Overzicht (showroom);Vue d'ensemble (showroom);Übersicht (Showroom);Översikt (utställningsrum);Podgląd (showroom);Oversikt (showroom)
Formatted number;Geformatteerde nummer;Numéro formaté;Formatierte Nummer;Formaterat nummer;Sformatowany numer;Formatert nummer
Display;Weergave;Afficher;Display  ;Visa;Wyświetl;Vise
Standard;Standaard;Standard;Standard;Standard;Standard;Standard
Card;Kaart;Carte;Karte;Kort;Karta;Kort
Dropdown;Dropdown;Liste déroulante;Dropdown;Dropdown;Lista rozwijana;Rullegardinmeny
Search bar (dialog);Zoekbalk (dialoogvenster);Barre de recherche (dialogue);Suchleiste (Dialog);Sökfält (dialogruta);Pasek wyszukiwania (dialog);Søkefelt (dialogboks)
Search bar (no dialog);Zoekbalk (geen dialoogvenster);Barre de recherche (sans dialogue);Suchleiste (kein Dialog);Sökfält (utan dialog);Pasek wyszukiwania (bez dialog);Søkefelt (ingen dialogboks)
Table row;Tabel rij;Ligne de table;Tabellenzeile;Tabellrad;Wiersz tabeli;Tabellrad
Search bar pop-up;Zoekbalk pop-up;Barre de recherche dans la page;Pop-up-Suchleiste;Popup-fönster i sökfältet;Pop-up paska wyszukiwania;Popup-vindu for søkefelt
Search bar in page;Zoekbalk op pagina;Barre de recherche dans la page;Suchleifste auf der Seite;Sökfält på sidan;Pasek wyszukiwania na stronie;Søkefelt på siden
Desired columns;Gewenste kolommen;Colonnes souhaitées;Gewünschte Kolonnen;Önskade kolumner;żądane kolumny;Ønskede kolonner
Default Value;Standaardwaarde;Valeur par défaut;Standardwert;Standardvärde;Wartość domyślna;Standardverdi
